"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20170-14562","2B","Jose","Jose Altuve","Altuve","13.445744940575134","94","4100","HOU@BAL","HOU","BAL","","","",""
"20170-12944","P","Simon","Simon Castro","Castro","5.5","2","4000","OAK@NYM","OAK","NYM","","","",""
"20170-14038","OF","Khris","Khris Davis","Davis","11.971579461348684","95","4000","OAK@NYM","OAK","NYM","","","",""
"20170-38614","SS","Carlos","Carlos Correa","Correa","13.444048200334821","84","4000","HOU@BAL","HOU","BAL","DL","Thumb","",""
"20170-5434","OF","Ryan","Ryan Braun","Braun","12.665957187084441","47","3900","MIL@PHI","MIL","PHI","","","",""
"20170-5473","OF","Gerardo","Gerardo Parra","Parra","9.75","60","3900","PIT@COL","COL","PIT","","","",""
"20170-5474","1B","Mark","Mark Reynolds","Reynolds","11.613978232106854","93","3900","PIT@COL","COL","PIT","","","",""
"20170-16950","3B","Miguel","Miguel Sano","Sano","12.382222493489584","90","3900","DET@MIN","MIN","DET","","","",""
"20170-53994","1B","Josh","Josh Bell","Bell","9.899999874154316","97","3900","PIT@COL","PIT","COL","","","",""
"20170-52158","SS","Trevor","Trevor Story","Story","8.926190330868675","84","3900","PIT@COL","COL","PIT","","","",""
"20170-17382","OF","Gregory","Gregory Polanco","Polanco","8.663749694824219","80","3900","PIT@COL","PIT","COL","DL","Hamstring","",""
"20170-5118","1B","Miguel","Miguel Cabrera","Cabrera","9.701219512195122","82","3900","DET@MIN","DET","MIN","DTD","Collarbone","",""
"20170-5488","1B","Joey","Joey Votto","Votto","13.31958762886598","97","3800","MIA@CIN","CIN","MIA","","","",""
"20170-13096","2B","Brian","Brian Dozier","Dozier","11.117977528089888","89","3800","DET@MIN","MIN","DET","","","",""
"20170-38976","2B","Jose","Jose Ramirez","Ramirez","12.439362221575799","94","3700","TOR@CLE","CLE","TOR","","","",""
"20170-13771","2B","Josh","Josh Harrison","Harrison","9.648936170212766","94","3700","PIT@COL","PIT","COL","","","",""
"20170-17086","OF","Marcell","Marcell Ozuna","Ozuna","11.882105777138158","95","3700","MIA@CIN","MIA","CIN","","","",""
"20170-6197","OF","Justin","Justin Upton","Upton","11.895555284288195","90","3600","DET@MIN","DET","MIN","","","",""
"20170-13368","OF","Billy","Billy Hamilton","Hamilton","11.0561797752809","89","3600","MIA@CIN","CIN","MIA","","","",""
